claim,Universal Pct.,Company Pct.
Analgesics - Opioid,59.88,37.79
Analgesics - Anti-Inflammatory,34.78,16.69
Antihypertensives,20.29,16
Penicillins,18.56,11.17
Antihyperlipidemics,17.91,16.83
Antidepressants,17.84,15.45
Antiemetics,15.81,8.14
Corticosteroids,15.75,18.21
Dermatologicals,15.63,12.14
Vaccines,14.27,8.69
Ulcer Drugs/Antispasmodics/Anticholinergics,14.03,12
Musculoskeletal Therapy Agents,13.92,29.66
Anticonvulsants,13.38,20.14
Cephalosporins,12.77,9.38
Anti-Infective Agents - Misc.,11.06,11.31
Antiasthmatic And Bronchodilator Agents,10.48,8.83
Antianxiety Agents,9.94,10.62
Beta Blockers,9.4,8.55
Diuretics,9.31,7.17
Analgesics - Nonnarcotic,8.87,1.93
Macrolides,8.83,9.38
Anticoagulants,8.14,2.62
Thyroid Agents,7.98,6.07
Antidiabetics,7.62,8.28
Calcium Channel Blockers,7.46,6.62
Cough/Cold/Allergy,6.9,8.14
Antihistamines,6.08,3.31
Antivirals,5.76,4.55
Tetracyclines,5.75,4.83
Nasal Agents - Systemic And Topical,5.66,5.24
Ophthalmic Agents,5.12,4.69
Hypnotics/Sedatives/Sleep Disorder Agents,4.94,3.72
Fluoroquinolones,4.54,6.76
Laxatives,4.51,3.72
Antifungals,3.98,3.45
Adhd/Anti-Narcolepsy/Anti-Obesity/Anorexiants,3.86,2.48
Genitourinary Agents - Miscellaneous,3.68,3.59
Contraceptives,3.59,0.69
Medical Devices And Supplies,2.62,3.45
Estrogens,2.45,3.03
Vitamins,2.43,3.17
Mouth/Throat/Dental Agents,2.2,2.62
Migraine Products,2.12,2.34
Gout Agents,2.05,1.38
Minerals & Electrolytes,1.96,2.21
Antipsychotics/Antimanic Agents,1.9,2.07
Cardiovascular Agents - Misc.,1.79,1.66
Vaginal And Related Products,1.74,0.83
Diagnostic Products,1.7,2.62
Gastrointestinal Agents - Misc.,1.7,3.03
Antineoplastics And Adjunctive Therapies,1.67,0.97
Hematopoietic Agents,1.58,2.21
Urinary Antispasmodics,1.43,1.38
Androgens-Anabolic,1.41,1.79
Progestins,1.21,0.97
Otic Agents,1.13,1.38
Antiparkinson And Related Therapy Agents,1.13,1.79
Hematological Agents - Misc.,1.11,0.97
Antimalarials,1.04,0.55
Psychotherapeutic And Neurological Agents - Misc.,1.02,0.83
Endocrine And Metabolic Agents - Misc.,1,1.24
Vasopressors,0.87,0.97
Antidotes And Specific Antagonists,0.82,0.55
Antianginal Agents,0.71,1.38
Anorectal And Related Products,0.5,0.83
Antiarrhythmics,0.49,0.41
Toxoids,0.48,0.41
Antidiarrheal/Probiotic Agents,0.35,0.14
Miscellaneous Therapeutic Classes,0.3,0.55
Anthelmintics,0.19,0.14
Antimycobacterial Agents,0.16,0.14
Digestive Aids,0.07,0.28
Cardiotonics,0.06,0.14
Chemicals,0.05,0.14
Aminoglycosides,0.05,0.14
Pharmaceutical Adjuvants,0.04,0.14
Passive Immunizing And Treatment Agents,0.01,0.28
Local Anesthetics-Parenteral,0.01,0.14
Respiratory Agents - Misc.,0,0.14
