claim,Universal Pct.,Company Pct.
"M25: Other joint disorder, not elsewhere classified",64.24,53.15
"Z01: Encntr for oth sp exam w/o complaint, suspected or reprtd dx",53.19,61.03
S83: Dislocation and sprain of joints and ligaments of knee,45.85,28.51
M17: Osteoarthritis of knee,38.41,41.77
I10: Essential (primary) hypertension,20.66,25.09
M08: Juvenile arthritis,16.18,17.74
M23: Internal derangement of knee,14.11,10.46
E78: Disorders of lipoprotein metabolism and other lipidemias,10.19,10.54
M54: Dorsalgia,6.7,6.52
E11: Type 2 diabetes mellitus,6.58,8.57
"Z00: Encntr for general exam w/o complaint, susp or reprtd dx",6.56,8.04
M22: Disorder of patella,6.39,3.94
Z96: Presence of other functional implants,6.12,7.2
B99: Other and unspecified infectious diseases,6.11,4.02
Z79: Long term (current) drug therapy,5.18,4.62
G47: Sleep disorders,4.96,5.91
"M79: Oth and unsp soft tissue disorders, not elsewhere classified",4.82,4.62
Z68: Body mass index [BMI],4.79,5.31
Z23: Encounter for immunization,4.7,6.37
Z12: Encounter for screening for malignant neoplasms,4.57,5.16
"G89: Pain, not elsewhere classified",4.18,4.09
M94: Other disorders of cartilage,4.17,2.5
E66: Overweight and obesity,4.02,4.47
R94: Abnormal results of function studies,3.84,3.94
E03: Other hypothyroidism,3.4,3.64
S89: Other and unspecified injuries of lower leg,3.31,2.05
F41: Other anxiety disorders,3.08,3.94
Z11: Encounter for screening for infec/parastc diseases,2.75,2.73
"M99: Biomechanical lesions, not elsewhere classified",2.68,1.67
Z20: Contact w and (suspected) exposure to communicable diseases,2.6,3.03
Z13: Encounter for screening for other diseases and disorders,2.58,3.56
I25: Chronic ischemic heart disease,2.5,2.05
R73: Elevated blood glucose level,2.47,2.65
K21: Gastro-esophageal reflux disease,2.44,1.67
Z47: Orthopedic aftercare,2.4,3.26
M19: Other and unspecified osteoarthritis,2.35,1.82
Z98: Other postprocedural states,2.35,1.82
M62: Other disorders of muscle,2.32,2.05
R53: Malaise and fatigue,2.3,2.12
R00: Abnormalities of heart beat,2.16,1.29
R06: Abnormalities of breathing,2.14,2.5
M24: Other specific joint derangements,2.1,1.74
J30: Vasomotor and allergic rhinitis,2.07,1.67
R26: Abnormalities of gait and mobility,2.03,2.12
M71: Other bursopathies,2,1.29
"M51: Thoracic, thoracolum, and lumbosacral intvrt disc disorders",1.91,2.43
"R60: Edema, not elsewhere classified",1.86,1.29
T84: Complications of internal orthopedic prosth dev/grft,1.86,2.35
S80: Superficial injury of knee and lower leg,1.81,0.83
M47: Spondylosis,1.8,1.82
R07: Pain in throat and chest,1.79,1.97
E55: Vitamin D deficiency,1.78,2.05
R10: Abdominal and pelvic pain,1.74,2.35
M67: Other disorders of synovium and tendon,1.68,0.61
"S82: Fracture of lower leg, including ankle",1.66,0.91
J45: Asthma,1.65,1.36
S73: Dislocation and sprain of joint and ligaments of hip,1.51,1.59
M87: Osteonecrosis,1.5,1.59
M21: Other acquired deformities of limbs,1.5,1.9
N39: Other disorders of urinary system,1.4,1.97
"M76: Enthesopathies, lower limb, excluding foot",1.39,1.14
R05: Cough,1.37,1.06
I48: Atrial fibrillation and flutter,1.37,1.14
Z87: Personal history of other diseases and conditions,1.29,1.06
M65: Synovitis and tenosynovitis,1.22,0.99
Z86: Personal history of certain other diseases,1.18,1.36
"F32: Major depressive disorder, single episode",1.17,0.99
F17: Nicotine dependence,1.17,0.83
"F33: Major depressive disorder, recurrent",1.14,1.29
Y93: Activity codes,1.13,0.08
D64: Other anemias,1.05,0.99
J01: Acute sinusitis,1.04,0.83
Z02: Encounter for administrative examination,1.04,0.08
Z51: Encounter for other aftercare,1.03,1.06
E29: Testicular dysfunction,1.03,0.3
R68: Other general symptoms and signs,1.02,0.61
"F43: Reaction to severe stress, and adjustment disorders",1.01,0.53
