claim,Universal Pct.,Company Pct.
M54: Dorsalgia,81.4,77.7
"Z01: Encntr for oth sp exam w/o complaint, suspected or reprtd dx",56.66,63.89
"M51: Thoracic, thoracolum, and lumbosacral intvrt disc disorders",49.81,47.43
M48: Other spondylopathies,49.07,49.73
M47: Spondylosis,32.64,30.44
M50: Cervical disc disorders,23.69,22.48
I10: Essential (primary) hypertension,22.08,22.83
M43: Other deforming dorsopathies,15.1,14.87
E78: Disorders of lipoprotein metabolism and other lipidemias,10.45,9.03
"M25: Other joint disorder, not elsewhere classified",10.09,8.32
"M79: Oth and unsp soft tissue disorders, not elsewhere classified",9.02,7.79
E11: Type 2 diabetes mellitus,8.98,10.62
"G89: Pain, not elsewhere classified",8.83,6.55
Z79: Long term (current) drug therapy,8.17,7.61
B99: Other and unspecified infectious diseases,7.55,3.54
"M99: Biomechanical lesions, not elsewhere classified",7.43,6.55
"Z00: Encntr for general exam w/o complaint, susp or reprtd dx",6.3,7.08
G47: Sleep disorders,5.28,6.02
Z68: Body mass index [BMI],5.26,6.37
R06: Abnormalities of breathing,4.87,1.59
M62: Other disorders of muscle,4.8,4.42
R94: Abnormal results of function studies,4.73,3.54
Z98: Other postprocedural states,4.61,3.89
R53: Malaise and fatigue,4.6,4.07
R20: Disturbances of skin sensation,4.32,4.07
F41: Other anxiety disorders,4.12,4.78
Z23: Encounter for immunization,3.97,4.42
Z12: Encounter for screening for malignant neoplasms,3.86,3.54
R07: Pain in throat and chest,3.53,2.3
E03: Other hypothyroidism,3.49,2.83
