claim,Universal Pct.,Company Pct.
"M25: Other joint disorder, not elsewhere classified",64.24,93.22
"Z01: Encntr for oth sp exam w/o complaint, suspected or reprtd dx",53.19,76.27
S83: Dislocation and sprain of joints and ligaments of knee,45.85,69.49
M17: Osteoarthritis of knee,38.41,52.54
I10: Essential (primary) hypertension,20.66,27.12
M08: Juvenile arthritis,16.18,30.51
M23: Internal derangement of knee,14.11,35.17
E78: Disorders of lipoprotein metabolism and other lipidemias,10.19,9.32
M54: Dorsalgia,6.7,6.36
E11: Type 2 diabetes mellitus,6.58,8.9
"Z00: Encntr for general exam w/o complaint, susp or reprtd dx",6.56,6.78
M22: Disorder of patella,6.39,12.29
Z96: Presence of other functional implants,6.12,8.47
B99: Other and unspecified infectious diseases,6.11,10.59
Z79: Long term (current) drug therapy,5.18,5.08
G47: Sleep disorders,4.96,3.39
"M79: Oth and unsp soft tissue disorders, not elsewhere classified",4.82,5.93
Z68: Body mass index [BMI],4.79,5.51
Z23: Encounter for immunization,4.7,8.05
Z12: Encounter for screening for malignant neoplasms,4.57,4.66
"G89: Pain, not elsewhere classified",4.18,4.66
M94: Other disorders of cartilage,4.17,7.63
E66: Overweight and obesity,4.02,5.51
R94: Abnormal results of function studies,3.84,7.2
E03: Other hypothyroidism,3.4,1.27
S89: Other and unspecified injuries of lower leg,3.31,11.02
F41: Other anxiety disorders,3.08,4.24
Z11: Encounter for screening for infec/parastc diseases,2.75,11.02
"M99: Biomechanical lesions, not elsewhere classified",2.68,2.97
Z20: Contact w and (suspected) exposure to communicable diseases,2.6,1.69
