claim,Universal Pct.,Company Pct.
M54: Dorsalgia,81.4,73.31
"Z01: Encntr for oth sp exam w/o complaint, suspected or reprtd dx",56.66,54.66
"M51: Thoracic, thoracolum, and lumbosacral intvrt disc disorders",49.81,54.66
M48: Other spondylopathies,49.07,64.41
M47: Spondylosis,32.64,29.24
M50: Cervical disc disorders,23.69,20.34
I10: Essential (primary) hypertension,22.08,20.76
M43: Other deforming dorsopathies,15.1,20.34
E78: Disorders of lipoprotein metabolism and other lipidemias,10.45,5.93
"M25: Other joint disorder, not elsewhere classified",10.09,9.75
"M79: Oth and unsp soft tissue disorders, not elsewhere classified",9.02,10.17
E11: Type 2 diabetes mellitus,8.98,3.81
"G89: Pain, not elsewhere classified",8.83,8.05
Z79: Long term (current) drug therapy,8.17,4.66
B99: Other and unspecified infectious diseases,7.55,5.08
"M99: Biomechanical lesions, not elsewhere classified",7.43,6.78
"Z00: Encntr for general exam w/o complaint, susp or reprtd dx",6.3,5.08
G47: Sleep disorders,5.28,3.81
Z68: Body mass index [BMI],5.26,6.78
R06: Abnormalities of breathing,4.87,8.9
M62: Other disorders of muscle,4.8,4.24
R94: Abnormal results of function studies,4.73,8.47
Z98: Other postprocedural states,4.61,5.08
R53: Malaise and fatigue,4.6,1.27
R20: Disturbances of skin sensation,4.32,5.51
F41: Other anxiety disorders,4.12,1.69
Z23: Encounter for immunization,3.97,3.81
Z12: Encounter for screening for malignant neoplasms,3.86,2.12
R07: Pain in throat and chest,3.53,6.36
E03: Other hypothyroidism,3.49,1.27
