claim,Universal Pct.,Company Pct.
ANTI-INFECTIVE AGENTS - MISC.,2827,25
MINERALS & ELECTROLYTES,638,9
MEDICAL DEVICES AND SUPPLIES,901,8
ANTIANGINAL AGENTS,243,5
ANTIDOTES AND SPECIFIC ANTAGONISTS,355,4
TOXOIDS,99,2
ANORECTAL AND RELATED PRODUCTS,153,1
HEMATOPOIETIC AGENTS,526,9
TETRACYCLINES,1449,17
COUGH/COLD/ALLERGY,1708,21
ANTICOAGULANTS,870,15
ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,1033,13
NUTRIENTS,6,2
ANTIARRHYTHMICS,151,2
VASOPRESSORS,251,3
OPHTHALMIC AGENTS,1278,9
ANTHELMINTICS,41,1
ANTIPARKINSON AND RELATED THERAPY AGENTS,362,3
ANDROGENS-ANABOLIC,438,1
ANTIDIARRHEAL/PROBIOTIC AGENTS,118,1
ULCER DRUGS/ANTISPASMODICS/ANTICHOLINERGICS,3696,45
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS - MISC.,523,11
ALTERNATIVE MEDICINES,14,2
RESPIRATORY AGENTS - MISC.,18,1
ANALGESICS - NonNarcotic,728,17
DIAGNOSTIC PRODUCTS,588,4
PASSIVE IMMUNIZING AND TREATMENT AGENTS,22,1
NASAL AGENTS - SYSTEMIC AND TOPICAL,1456,6
MISCELLANEOUS THERAPEUTIC CLASSES,137,1
Unknown,364,3
ANTIDEPRESSANTS,5533,57
ANTIANXIETY AGENTS,3889,34
MACROLIDES,2204,19
DERMATOLOGICALS,3748,36
MULTIVITAMINS,55,1
ANTIASTHMATIC AND BRONCHODILATOR AGENTS,3110,36
ANTIPSYCHOTICS/ANTIMANIC AGENTS,740,6
DIURETICS,2331,19
GOUT AGENTS,460,5
GENITOURINARY AGENTS - MISCELLANEOUS,1112,11
ANTIHYPERTENSIVES,4872,43
claim,Universal Pct.,Company Pct.
Analgesics - Opioid,60.9,68.64
Musculoskeletal Therapy Agents,46.14,51.69
Anticonvulsants,29.13,27.97
Corticosteroids,27.74,27.12
Antidepressants,26.22,24.15
Cephalosporins,13.01,22.88
Laxatives,5.87,20.76
Analgesics - Anti-Inflammatory,25.74,20.34
Ulcer Drugs/Antispasmodics/Anticholinergics,17.52,19.07
Antihypertensives,23.09,18.22
Penicillins,15.51,15.68
Dermatologicals,17.76,15.25
Antiasthmatic And Bronchodilator Agents,14.74,15.25
Antihyperlipidemics,20.7,15.25
Antianxiety Agents,18.43,14.41
Anti-Infective Agents - Misc.,13.4,10.59
Beta Blockers,12.2,10.17
Antiemetics,13.17,10.17
Cough/Cold/Allergy,8.1,8.9
Vaccines,13.7,8.9
Macrolides,10.45,8.05
Diuretics,11.05,8.05
Tetracyclines,6.87,7.2
Analgesics - Nonnarcotic,3.45,7.2
Antidiabetics,10.74,7.2
Calcium Channel Blockers,8.83,7.2
Anticoagulants,4.12,6.36
Adhd/Anti-Narcolepsy/Anti-Obesity/Anorexiants,4.9,5.51
Mouth/Throat/Dental Agents,3.15,5.08
Psychotherapeutic And Neurological Agents - Misc.,2.48,4.66
